vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,p_lon,p_lat,rate_code,store_and_fwd_flag,d_lon,d_lat,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,imp_surcharge,total_amount
1,2016-06-15 06:31:19 UTC,2016-06-15 06:35:25 UTC,1,1.3,-73.9923324584961,40.74347305297852,1,N,-73.98271942138672,40.76012802124024,1,6.0,0.0,0.5,2.0,0.0,0.3,8.8
1,2016-06-15 06:31:20 UTC,2016-06-15 06:37:44 UTC,1,1.1,-73.99333190917969,40.75746154785156,1,N,-73.97718048095702,40.748779296875,2,6.5,0.0,0.5,0.0,0.0,0.3,7.3
2,2016-06-15 06:31:20 UTC,2016-06-15 06:46:30 UTC,1,2.6,-73.9629135131836,40.761543273925774,1,N,-73.99408721923827,40.7499885559082,1,12.5,0.0,0.5,2.66,0.0,0.3,15.96
2,2016-06-15 06:31:29 UTC,2016-06-15 06:41:46 UTC,1,2.0,-73.97936248779298,40.74055862426758,1,N,-73.98944854736328,40.75965118408203,1,9.0,0.0,0.5,1.96,0.0,0.3,11.76
1,2016-06-15 06:31:30 UTC,2016-06-15 06:34:37 UTC,1,0.5,-73.98677062988281,40.74974060058594,1,N,-73.9769058227539,40.74519348144531,1,4.5,0.0,0.5,0.0,0.0,0.3,5.3
2,2016-06-15 06:31:31 UTC,2016-06-15 06:36:09 UTC,3,1.35,-73.99176025390625,40.74433135986328,1,N,-73.97765350341797,40.75564575195313,1,6.0,0.0,0.5,1.36,0.0,0.3,8.16
2,2016-06-15 06:31:31 UTC,2016-06-15 06:37:43 UTC,1,1.04,-73.99092102050781,40.7511100769043,1,N,-73.97551727294923,40.74948120117188,2,6.5,0.0,0.5,0.0,0.0,0.3,7.3
2,2016-06-15 06:31:34 UTC,2016-06-15 06:35:14 UTC,3,0.85,-73.9762191772461,40.751808166503906,1,N,-73.97260284423827,40.74348831176758,2,5.0,0.0,0.5,0.0,0.0,0.3,5.8
1,2016-06-15 06:31:44 UTC,2016-06-15 06:33:43 UTC,1,0.5,-73.97627258300781,40.75217819213867,1,N,-73.97254943847656,40.74642181396485,2,3.5,0.0,0.5,0.0,0.0,0.3,4.3
2,2016-06-15 06:31:46 UTC,2016-06-15 06:39:27 UTC,3,1.81,-73.99185943603516,40.74967956542969,1,N,-73.99226379394531,40.74932861328125,2,8.0,0.0,0.5,0.0,0.0,0.3,8.8
2,2016-06-15 06:31:46 UTC,2016-06-15 06:42:30 UTC,1,2.85,-73.9600601196289,40.75811004638672,1,N,-73.9908676147461,40.75107955932617,1,11.0,0.0,0.5,1.0,0.0,0.3,12.8
1,2016-06-15 06:31:48 UTC,2016-06-15 06:37:02 UTC,1,0.6,-73.99061584472656,40.75600051879883,1,N,-73.98399353027344,40.76085662841797,2,5.5,0.0,0.5,0.0,0.0,0.3,6.3
2,2016-06-15 06:31:48 UTC,2016-06-15 06:35:09 UTC,2,0.74,-73.9921875,40.7492790222168,1,N,-73.9898910522461,40.74187088012695,1,4.5,0.0,0.5,0.0,0.0,0.3,5.3
1,2016-06-15 06:31:49 UTC,2016-06-15 06:36:19 UTC,1,0.8,-73.99398803710938,40.75112915039063,1,N,-73.98391723632812,40.75544357299805,1,5.5,0.0,0.5,1.25,0.0,0.3,7.55
